Time,Minerals,Vespene,Workers,Ideal,Barracks,Action_ID
0.0,50,0,12,16,0,42
16.0,50,0,12,16,0,42
32.0,50,0,12,16,0,42
48.0,50,0,12,16,0,42
64.0,50,0,12,16,0,41
80.0,50,0,12,16,0,42
96.0,50,0,12,16,0,42
112.0,55,0,12,16,0,41
128.0,60,0,12,16,0,42
144.0,70,0,12,16,0,42
160.0,80,0,12,16,0,41
176.0,95,0,12,16,0,42
192.0,110,0,12,16,0,42
208.0,110,0,12,16,0,42
224.0,110,0,12,16,0,41
240.0,115,0,12,16,0,41
256.0,130,0,12,16,0,42
272.0,140,0,12,16,0,42
288.0,145,0,12,16,0,41
304.0,165,0,12,16,0,42
320.0,170,0,12,16,0,42
336.0,170,0,12,16,0,41
352.0,170,0,12,16,0,41
368.0,190,0,12,16,0,42
384.0,200,0,12,16,0,42
400.0,200,0,12,16,0,42
416.0,215,0,12,16,0,41
432.0,230,0,12,16,0,41
448.0,230,0,12,16,0,41
464.0,230,0,12,16,0,41
480.0,240,0,12,16,0,42
496.0,255,0,12,16,0,42
512.0,260,0,12,16,0,41
528.0,265,0,12,16,0,41
544.0,280,0,12,16,0,41
560.0,290,0,12,16,0,41
576.0,295,0,12,16,0,42
592.0,305,0,12,16,0,41
608.0,310,0,12,16,0,41
624.0,315,0,12,16,0,42
640.0,325,0,12,16,0,42
656.0,330,0,12,16,0,42
672.0,340,0,12,16,0,41
688.0,360,0,12,16,0,41
704.0,365,0,12,16,0,42
720.0,365,0,12,16,0,42
736.0,370,0,12,16,0,42
752.0,380,0,12,16,0,41
768.0,385,0,12,16,0,41
784.0,390,0,12,16,0,42
800.0,410,0,12,16,0,42
816.0,425,0,12,16,0,42
832.0,425,0,12,16,0,42
848.0,435,0,12,16,0,41
864.0,435,0,12,16,0,41
880.0,440,0,12,16,0,42
896.0,455,0,12,16,0,42
912.0,465,0,12,16,0,42
928.0,475,0,12,16,0,42
944.0,485,0,12,16,0,42
960.0,490,0,12,16,0,41
976.0,495,0,12,16,0,42
992.0,500,0,12,16,0,42
1008.0,505,0,12,16,0,41
1024.0,525,0,12,16,0,41
1040.0,530,0,12,16,0,41
1056.0,540,0,12,16,0,41
1072.0,550,0,12,16,0,41
1088.0,555,0,12,16,0,42
1104.0,560,0,12,16,0,42
1120.0,565,0,12,16,0,42
1136.0,580,0,12,16,0,42
1152.0,585,0,12,16,0,42
1168.0,590,0,12,16,0,41
1184.0,605,0,12,16,0,41
1200.0,610,0,12,16,0,41
1216.0,620,0,12,16,0,42
1232.0,625,0,12,16,0,42
1248.0,640,0,12,16,0,42
1264.0,640,0,12,16,0,41
1280.0,645,0,12,16,0,42
1296.0,660,0,12,16,0,41
1312.0,670,0,12,16,0,42
1328.0,680,0,12,16,0,41
1344.0,685,0,12,16,0,42
1360.0,690,0,12,16,0,42
1376.0,700,0,12,16,0,41
1392.0,705,0,12,16,0,42
1408.0,715,0,12,16,0,41
1424.0,725,0,12,16,0,42
1440.0,735,0,12,16,0,42
1456.0,750,0,12,16,0,42
1472.0,750,0,12,16,0,41
1488.0,755,0,12,16,0,41
1504.0,765,0,12,16,0,42
1520.0,770,0,12,16,0,42
1536.0,775,0,12,16,0,41
1552.0,790,0,12,16,0,42
1568.0,805,0,12,16,0,42
1584.0,810,0,12,16,0,42
1600.0,810,0,12,16,0,41
1616.0,825,0,12,16,0,41
1632.0,830,0,12,16,0,42
1648.0,830,0,12,16,0,42
1664.0,835,0,12,16,0,42
1680.0,865,0,12,16,0,42
1696.0,865,0,12,16,0,41
1712.0,870,0,12,16,0,41
1728.0,885,0,12,16,0,42
1744.0,890,0,12,16,0,42
1760.0,890,0,12,16,0,41
1776.0,895,0,12,16,0,42
1792.0,910,0,12,16,0,41
1808.0,925,0,12,16,0,41
1824.0,930,0,12,16,0,41
1840.0,940,0,12,16,0,41
1856.0,945,0,12,16,0,41
1872.0,950,0,12,16,0,41
1888.0,955,0,12,16,0,41
1904.0,960,0,12,16,0,42
1920.0,980,0,12,16,0,42
1936.0,990,0,12,16,0,42
1952.0,995,0,12,16,0,42
1968.0,1005,0,12,16,0,41
1984.0,1005,0,12,16,0,42
2000.0,1020,0,12,16,0,41
2016.0,1020,0,12,16,0,41
2032.0,1025,0,12,16,0,42
2048.0,1055,0,12,16,0,42
2064.0,1055,0,12,16,0,41
2080.0,1055,0,12,16,0,41
2096.0,1065,0,12,16,0,42
2112.0,1075,0,12,16,0,41
2128.0,1080,0,12,16,0,42
2144.0,1085,0,12,16,0,42
